First_Name,Last_Name,Number,LGA
Amina,Yusuf,+2348035550142,Chikun
Ibrahim,Danladi,+2348055552201,Igabi
Grace,Samuel,+2348025558833,Kaduna North
Musa,Garba,+2347065554410,Zaria
Lydia,Auta,+2348145550098,Kaura
Emmanuel,Bitrus,+2347035557712,Jema'a
Fatima,Abdullahi,+2348031114422,Sabon Gari
Yusuf,Ibrahim,+2348052223311,Kaduna South
Chidi,Okafor,+2348023332211,Chikun
Halima,Garba,+2347064441122,Giwa
Peter,James,+2348145556677,Igabi
Zainab,Mohammed,+2348037778899,Zaria
Sunday,Ayuba,+2348058889900,Kachia
Ruth,Daniel,+2348029990011,Kajuru
Adamu,Bello,+2347060001122,Birnin Gwari
Blessing,John,+2348141112233,Kaura
Ibrahim,Sani,+2348032223344,Kauru
Maryam,Yakubu,+2348053334455,Kubau
Titus,Bala,+2348024445566,Kudan
Esther,Paul,+2347065556677,Lere
Danjuma,Ali,+2348146667788,Makarfi
Sarah,David,+2348037778899,Sanga
John,Musa,+2348058889900,Soba
Hannah,Isa,+2348029990011,Zangon Kataf
Yakubu,Dauda,+2347060001122,Ikara
Rebecca,Simon,+2348141112233,Kagarko
Moses,Joseph,+2348032223344,Jaba
Deborah,Samuel,+2348053334455,Chikun
Gideon,Matthew,+2348024445566,Kaduna North
Elizabeth,Mark,+2347065556677,Igabi
Samuel,Luke,+2348146667788,Zaria
